id,clientId,salary,requestedAmount,creditApproved,annualPercentageRate,periodsPerYear,periodsTotal,requestAt,approved,approvedAt,rejected,rejectedAt,reason
A000001,C1009,33775,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:17:00.000Z,CLIENT REJECTS
A000002,C1017,19041,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:34:00.000Z,NOT APPROVED
A000003,C1032,45933,42699,38700,0.08,24,31,2024-01-01T18:00:00.000Z,true,2024-01-01T21:26:00.000Z,false,null,null
A000004,C1036,18059,10850,9527,0.09,24,37,2024-01-01T18:00:00.000Z,true,2024-01-01T20:12:00.000Z,false,null,null
A000005,C1077,13010,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:50:00.000Z,NOT APPROVED
A000006,C1094,45349,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:19:00.000Z,NOT APPROVED
A000007,C1113,36215,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:56:00.000Z,NOT APPROVED
A000008,C1130,66961,45901,37623,0.11,24,48,2024-01-01T18:00:00.000Z,true,2024-01-01T20:41:00.000Z,false,null,null
A000009,C1140,22630,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:27:00.000Z,NOT APPROVED
A000010,C1174,32977,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:13:00.000Z,NOT APPROVED
A000011,C1250,36577,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:13:00.000Z,NOT APPROVED
A000012,C1251,22162,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:47:00.000Z,CLIENT REJECTS
A000013,C1252,72324,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:45:00.000Z,NOT APPROVED
A000014,C1253,81772,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:54:00.000Z,NOT APPROVED
A000015,C1260,71812,71470,65194,0.07,24,33,2024-01-01T18:00:00.000Z,true,2024-01-01T20:37:00.000Z,false,null,null
A000016,C1270,31582,19082,14608,0.15,24,49,2024-01-01T18:00:00.000Z,true,2024-01-01T21:42:00.000Z,false,null,null
A000017,C1281,45460,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:35:00.000Z,NOT APPROVED
A000018,C1282,41635,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:53:00.000Z,NOT APPROVED
A000019,C1304,34781,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:19:00.000Z,NOT APPROVED
A000020,C1327,39435,20975,19287,0.14,24,15,2024-01-01T18:00:00.000Z,true,2024-01-01T19:34:00.000Z,false,null,null
A000021,C1332,24956,19078,18083,0.06,24,22,2024-01-01T18:00:00.000Z,true,2024-01-01T18:55:00.000Z,false,null,null
A000022,C1346,46263,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:24:00.000Z,NOT APPROVED
A000023,C1363,44743,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:10:00.000Z,NOT APPROVED
A000024,C1425,69894,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:18:00.000Z,NOT APPROVED
A000025,C1461,16881,10207,9006,0.1,24,32,2024-01-01T18:00:00.000Z,true,2024-01-01T20:00:00.000Z,false,null,null
A000026,C1463,41431,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:32:00.000Z,NOT APPROVED
A000027,C1526,18922,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:58:00.000Z,NOT APPROVED
A000028,C1538,80981,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:28:00.000Z,NOT APPROVED
A000029,C1542,31831,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:57:00.000Z,NOT APPROVED
A000030,C1557,46133,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T19:07:00.000Z,NOT APPROVED
A000031,C1579,24245,19408,16999,0.1,24,34,2024-01-01T18:00:00.000Z,true,2024-01-01T19:25:00.000Z,false,null,null
A000032,C1601,45868,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:26:00.000Z,NOT APPROVED
A000033,C1613,91270,56498,52925,0.09,24,18,2024-01-01T18:00:00.000Z,true,2024-01-01T21:09:00.000Z,false,null,null
A000034,C1614,66302,57751,54099,0.06,24,27,2024-01-01T18:00:00.000Z,true,2024-01-01T19:24:00.000Z,false,null,null
A000035,C1618,19780,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T21:09:00.000Z,NOT APPROVED
A000036,C1622,20299,16162,15122,0.15,24,11,2024-01-01T18:00:00.000Z,true,2024-01-01T18:11:00.000Z,false,null,null
A000037,C1631,27639,22497,19619,0.11,24,32,2024-01-01T18:00:00.000Z,true,2024-01-01T18:34:00.000Z,false,null,null
A000038,C1634,16816,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T18:21:00.000Z,NOT APPROVED
A000039,C1639,68701,60823,55189,0.07,24,35,2024-01-01T18:00:00.000Z,true,2024-01-01T18:20:00.000Z,false,null,null
A000040,C1656,84178,52078,41331,0.13,24,48,2024-01-01T18:00:00.000Z,true,2024-01-01T19:03:00.000Z,false,null,null
A000041,C1695,53755,39508,34860,0.08,24,40,2024-01-01T18:00:00.000Z,true,2024-01-01T19:44:00.000Z,false,null,null
A000042,C1720,36211,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:49:00.000Z,NOT APPROVED
A000043,C1739,52983,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:53:00.000Z,NOT APPROVED
A000044,C1751,53776,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:03:00.000Z,NOT APPROVED
A000045,C1761,22967,0,0,0,0,0,2024-01-01T18:00:00.000Z,false,null,true,2024-01-01T20:15:00.000Z,NOT APPROVED
