paymentId,creditId,amount,paymentAt,paymentAcceptedAt,period,periodsTotal
P000001,A000056,1456,2024-01-02T18:00:00.000Z,2024-01-02T21:51:00.000Z,1,43
P000002,A000074,469,2024-01-03T18:00:00.000Z,2024-01-03T21:38:00.000Z,1,41
P000003,A000197,1440,2024-01-04T18:00:00.000Z,2024-01-04T20:18:00.000Z,1,32
P000004,A000244,384,2024-01-05T18:00:00.000Z,2024-01-05T18:24:00.000Z,1,40
P000005,A000056,879,2024-01-07T18:00:00.000Z,2024-01-07T19:58:00.000Z,1,43
P000006,A000164,1658,2024-01-10T18:00:00.000Z,2024-01-10T18:44:00.000Z,1,32
P000007,A000567,1150,2024-01-11T18:00:00.000Z,2024-01-11T20:29:00.000Z,1,41
P000008,A000015,2166,2024-01-11T18:00:00.000Z,2024-01-11T21:34:00.000Z,1,33
P000009,A000309,1629,2024-01-11T18:00:00.000Z,2024-01-11T20:08:00.000Z,1,43
P000010,A000052,1081,2024-01-11T18:00:00.000Z,2024-01-11T20:50:00.000Z,1,42
P000011,A000070,575,2024-01-11T18:00:00.000Z,2024-01-11T20:16:00.000Z,1,35
P000012,A000472,371,2024-01-12T18:00:00.000Z,2024-01-12T20:25:00.000Z,1,17
P000013,A000593,3889,2024-01-12T18:00:00.000Z,2024-01-12T20:07:00.000Z,1,13
P000014,A000663,141,2024-01-13T18:00:00.000Z,2024-01-13T18:58:00.000Z,1,42
P000015,A000733,766,2024-01-13T18:00:00.000Z,2024-01-13T20:44:00.000Z,1,36
P000016,A000170,1431,2024-01-14T18:00:00.000Z,2024-01-14T19:58:00.000Z,1,27
P000017,A000101,887,2024-01-14T18:00:00.000Z,2024-01-14T21:54:00.000Z,1,45
P000018,A000054,1793,2024-01-14T18:00:00.000Z,2024-01-14T18:34:00.000Z,1,7
P000019,A000164,1150,2024-01-15T18:00:00.000Z,2024-01-15T18:24:00.000Z,1,32
P000020,A000563,70,2024-01-15T18:00:00.000Z,2024-01-15T20:05:00.000Z,1,15
P000021,A001012,1117,2024-02-01T18:00:00.000Z,2024-02-01T19:25:00.000Z,1,17
P000022,A001032,957,2024-02-01T18:00:00.000Z,2024-02-01T18:23:00.000Z,1,41
P000023,A000451,4797,2024-02-01T18:00:00.000Z,2024-02-01T19:15:00.000Z,2,6
P000024,A001501,640,2024-02-01T18:00:00.000Z,2024-02-01T18:47:00.000Z,1,39
P000025,A000617,866,2024-02-01T18:00:00.000Z,2024-02-01T18:12:00.000Z,2,48
P000026,A000133,4707,2024-02-02T18:00:00.000Z,2024-02-02T18:22:00.000Z,2,6
P000027,A001201,1763,2024-02-02T18:00:00.000Z,2024-02-02T19:39:00.000Z,1,23
P000028,A000506,793,2024-02-02T18:00:00.000Z,2024-02-02T21:10:00.000Z,2,22
P000029,A000207,1673,2024-02-02T18:00:00.000Z,2024-02-02T19:39:00.000Z,2,12
P000030,A000832,60,2024-02-03T18:00:00.000Z,2024-02-03T21:08:00.000Z,2,20
P000031,A000377,562,2024-02-03T18:00:00.000Z,2024-02-03T19:19:00.000Z,2,50
P000032,A001737,54,2024-02-03T18:00:00.000Z,2024-02-03T18:05:00.000Z,1,41
P000033,A001277,6005,2024-02-03T18:00:00.000Z,2024-02-03T20:24:00.000Z,1,12
P000034,A001303,398,2024-02-04T18:00:00.000Z,2024-02-04T19:53:00.000Z,1,14
P000035,A000651,858,2024-02-04T18:00:00.000Z,2024-02-04T20:50:00.000Z,2,50
P000036,A000245,1073,2024-02-04T18:00:00.000Z,2024-02-04T21:56:00.000Z,3,33
P000037,A001516,763,2024-02-05T18:00:00.000Z,2024-02-05T20:10:00.000Z,1,35
P000038,A001170,1883,2024-02-05T18:00:00.000Z,2024-02-05T20:23:00.000Z,2,5
P000039,A000081,654,2024-02-05T18:00:00.000Z,2024-02-05T21:54:00.000Z,3,26
P000040,A000903,1767,2024-02-05T18:00:00.000Z,2024-02-05T18:49:00.000Z,2,18
P000041,A001870,142,2024-02-05T18:00:00.000Z,2024-02-05T19:10:00.000Z,1,39
P000042,A001547,1702,2024-02-05T18:00:00.000Z,2024-02-05T20:49:00.000Z,1,38
P000043,A001439,250,2024-02-05T18:00:00.000Z,2024-02-05T21:59:00.000Z,1,33
P000044,A000260,2470,2024-02-05T18:00:00.000Z,2024-02-05T21:57:00.000Z,3,15
P000045,A002073,581,2024-02-06T18:00:00.000Z,2024-02-06T20:15:00.000Z,1,47
P000046,A001301,1445,2024-02-06T18:00:00.000Z,2024-02-06T20:42:00.000Z,1,45
P000047,A001641,814,2024-02-06T18:00:00.000Z,2024-02-06T20:31:00.000Z,1,15
P000048,A000773,1513,2024-02-06T18:00:00.000Z,2024-02-06T20:09:00.000Z,2,39
P000049,A000368,317,2024-02-06T18:00:00.000Z,2024-02-06T18:27:00.000Z,3,16
P000050,A001731,5881,2024-02-06T18:00:00.000Z,2024-02-06T20:32:00.000Z,1,8
P000051,A001926,249,2024-02-06T18:00:00.000Z,2024-02-06T19:19:00.000Z,1,28
P000052,A001911,781,2024-02-07T18:00:00.000Z,2024-02-07T20:23:00.000Z,1,51
P000053,A000113,947,2024-02-07T18:00:00.000Z,2024-02-07T18:50:00.000Z,3,41
P000054,A001219,45,2024-02-07T18:00:00.000Z,2024-02-07T20:59:00.000Z,2,41
P000055,A000509,339,2024-02-07T18:00:00.000Z,2024-02-07T19:35:00.000Z,2,31
P000056,A001943,192,2024-02-07T18:00:00.000Z,2024-02-07T21:42:00.000Z,1,47
